event,year,top_1,top_8,top_16,top_24,ncaa_qual,a_slope,b_slope,c_slope,a_int,b_int,c_int
100 BK,2027,42.85,44.53,45.04,46.59,44.87,-5.952380952,-32.14285714,-5.161290323,287.0595238,1458.714286,241.4645161
200 BK,2020,98.9,101.83,103.71,106.72,101.14,-3.412969283,-4.712041885,-2.657807309,369.5426621,499.6858639,284.641196
200 BK,2021,98.7,101.59,103.48,106.65,100.95,-3.460207612,-4.639175258,-2.523659306,373.5224913,491.0618557,270.148265
200 BK,2022,98.5,101.36,103.25,106.46,100.77,-3.496503497,-4.591836735,-2.492211838,376.4055944,485.1071429,266.3208723
200 BK,2023,98.31,101.13,103.02,106.31,100.59,-3.546099291,-4.522613065,-2.431610942,380.6170213,476.919598,259.5045593
200 BK,2024,98.11,100.89,102.79,106.15,100.4,-3.597122302,-4.47761194,-2.380952381,384.9136691,471.2537313,253.7380952
200 BK,2025,97.91,100.66,102.56,105.99,100.22,-3.636363636,-4.411764706,-2.332361516,388.0363636,463.4705882,248.2069971
200 BK,2026,97.72,100.43,102.33,105.84,100.04,-3.6900369,-4.368932039,-2.279202279,392.5904059,458.0728155,242.2307692
200 BK,2027,97.52,100.2,102.1,105.68,99.86,-3.731343284,-4.306220096,-2.234636872,395.880597,450.6650718,237.1564246
100 BR,2020,51.79,53.04,53.79,54.36,52.41,-8,-12,-14.03508772,446.32,656.48,763.9473684
100 BR,2021,51.68,52.93,53.68,54.25,52.31,-8,-12,-14.03508772,445.44,655.16,762.4035088
100 BR,2022,51.57,52.81,53.56,54.15,52.21,-8.064516129,-12,-13.55932203,447.8870968,653.72,735.2372881
100 BR,2023,51.46,52.7,53.45,54.04,52.1,-8.064516129,-12,-13.55932203,447,652.4,733.7457627
100 BR,2024,51.35,52.58,53.34,53.93,52,-8.130081301,-12,-13.55932203,449.4796748,651.08,732.2542373
100 BR,2025,51.24,52.47,53.22,53.83,51.89,-8.130081301,-12,-13.1147541,448.5853659,649.64,706.9672131
100 BR,2026,51.13,52.36,53.11,53.72,51.79,-8.130081301,-12,-13.1147541,447.6910569,648.32,705.5245902
